timestamp,meter_id,pressure_bar,pressure_m_head,consumption_m3
2023-09-01 00:00:00,SWM10,4.2,42.82808094600001,
2023-09-01 00:00:00,SWM10B,4.0,40.78864852,
2023-09-01 00:00:00,SWM10C,4.1,41.808364733,
2023-09-01 00:00:00,SWM11,5.5,56.084391715,
2023-09-01 00:00:00,SWM12,5.1,52.005526863,
2023-09-01 00:00:00,SWM13,5.2,53.025243076,
2023-09-01 00:00:00,SWM14,5.5,56.084391715,
2023-09-01 00:00:00,SWM15,5.0,50.985810650000005,
2023-09-01 00:00:00,SWM2,5.2,53.025243076,
2023-09-01 00:00:00,SWM3,5.3,54.044959289000005,
2023-09-01 00:00:00,SWM4,5.2,53.025243076,
2023-09-01 00:00:00,SWM6,5.1,52.005526863,
2023-09-01 00:00:00,SWM7,5.4,55.06467550200001,
2023-09-01 00:00:00,SWM8,5.1,52.005526863,
2023-09-01 00:00:00,SWM9,5.4,55.06467550200001,
2023-09-01 01:00:00,SWM10,4.2,42.82808094600001,0.0
2023-09-01 01:00:00,SWM10B,4.0,40.78864852,0.0
2023-09-01 01:00:00,SWM10C,4.05,41.2985066265,0.0
2023-09-01 01:00:00,SWM11,5.5,56.084391715,0.017
2023-09-01 01:00:00,SWM12,5.1,52.005526863,0.0
2023-09-01 01:00:00,SWM13,5.2,53.025243076,0.0
2023-09-01 01:00:00,SWM14,5.6,57.104107928,0.0
2023-09-01 01:00:00,SWM15,5.1,52.005526863,0.0
2023-09-01 01:00:00,SWM2,5.3,54.044959289000005,0.0
2023-09-01 01:00:00,SWM3,5.3,54.044959289000005,0.0
2023-09-01 01:00:00,SWM4,5.3,54.044959289000005,0.0
2023-09-01 01:00:00,SWM6,5.2,53.025243076,0.014
2023-09-01 01:00:00,SWM7,5.4,55.06467550200001,0.01
2023-09-01 01:00:00,SWM8,5.2,53.025243076,0.0
2023-09-01 01:00:00,SWM9,5.2,53.025243076,0.0
2023-09-01 02:00:00,SWM10,4.2,42.82808094600001,0.005
2023-09-01 02:00:00,SWM10B,4.0,40.78864852,0.0
2023-09-01 02:00:00,SWM10C,4.0,40.78864852,0.0
2023-09-01 02:00:00,SWM11,5.4,55.06467550200001,0.013
2023-09-01 02:00:00,SWM12,5.0,50.985810650000005,0.0
2023-09-01 02:00:00,SWM13,5.2,53.025243076,0.0
2023-09-01 02:00:00,SWM14,5.5,56.084391715,0.0
2023-09-01 02:00:00,SWM15,5.0,50.985810650000005,0.0
2023-09-01 02:00:00,SWM2,5.2,53.025243076,0.0
2023-09-01 02:00:00,SWM3,5.3,54.044959289000005,0.0
2023-09-01 02:00:00,SWM4,5.2,53.025243076,0.0
2023-09-01 02:00:00,SWM6,5.15,52.515384969500005,0.013
2023-09-01 02:00:00,SWM7,5.4,55.06467550200001,0.005
2023-09-01 02:00:00,SWM8,5.1,52.005526863,0.0
2023-09-01 02:00:00,SWM9,5.0,50.985810650000005,0.0
2023-09-01 03:00:00,SWM10,4.2,42.82808094600001,0.002
2023-09-01 03:00:00,SWM10B,4.0,40.78864852,0.003
2023-09-01 03:00:00,SWM10C,4.1,41.808364733,0.0
2023-09-01 03:00:00,SWM11,5.4,55.06467550200001,0.019
2023-09-01 03:00:00,SWM12,5.0,50.985810650000005,0.0
2023-09-01 03:00:00,SWM13,5.1,52.005526863,0.0
2023-09-01 03:00:00,SWM14,5.5,56.084391715,0.0
2023-09-01 03:00:00,SWM15,5.0,50.985810650000005,0.0
2023-09-01 03:00:00,SWM2,5.1,52.005526863,0.0
2023-09-01 03:00:00,SWM3,5.2,53.025243076,0.0
2023-09-01 03:00:00,SWM4,5.2,53.025243076,0.0
2023-09-01 03:00:00,SWM6,5.1,52.005526863,0.009
2023-09-01 03:00:00,SWM7,5.3,54.044959289000005,0.048
2023-09-01 03:00:00,SWM8,5.1,52.005526863,0.026
2023-09-01 03:00:00,SWM9,4.8,48.946378224,0.0
2023-09-01 04:00:00,SWM10,4.2,42.82808094600001,0.0
2023-09-01 04:00:00,SWM10B,4.1,41.808364733,0.003
2023-09-01 04:00:00,SWM10C,4.05,41.2985066265,0.0
2023-09-01 04:00:00,SWM11,5.4,55.06467550200001,0.013
2023-09-01 04:00:00,SWM12,5.1,52.005526863,0.009
2023-09-01 04:00:00,SWM13,5.2,53.025243076,0.0
2023-09-01 04:00:00,SWM14,5.5,56.084391715,0.0
2023-09-01 04:00:00,SWM15,5.1,52.005526863,0.007
2023-09-01 04:00:00,SWM2,5.2,53.025243076,0.0
2023-09-01 04:00:00,SWM3,5.3,54.044959289000005,0.0
2023-09-01 04:00:00,SWM4,5.3,54.044959289000005,0.0
2023-09-01 04:00:00,SWM6,5.15,52.515384969500005,0.004
2023-09-01 04:00:00,SWM7,5.4,55.06467550200001,0.08
2023-09-01 04:00:00,SWM8,5.2,53.025243076,0.0
2023-09-01 04:00:00,SWM9,4.6,46.906945798,0.0
2023-09-01 05:00:00,SWM10,4.4,44.867513372000005,0.0
2023-09-01 05:00:00,SWM10B,4.3,43.847797159,0.016
2023-09-01 05:00:00,SWM10C,4.3,43.847797159,0.0
2023-09-01 05:00:00,SWM11,5.2,53.025243076,0.011
2023-09-01 05:00:00,SWM12,4.9,49.96609443700001,0.0
2023-09-01 05:00:00,SWM13,5.0,50.985810650000005,0.085
2023-09-01 05:00:00,SWM14,5.4,55.06467550200001,0.018
2023-09-01 05:00:00,SWM15,4.9,49.96609443700001,0.008
2023-09-01 05:00:00,SWM2,5.1,52.005526863,0.08
2023-09-01 05:00:00,SWM3,5.1,52.005526863,0.01
2023-09-01 05:00:00,SWM4,5.0,50.985810650000005,0.0
2023-09-01 05:00:00,SWM6,4.9,49.96609443700001,0.018
2023-09-01 05:00:00,SWM7,5.2,53.025243076,0.048
2023-09-01 05:00:00,SWM8,5.0,50.985810650000005,0.068
2023-09-01 05:00:00,SWM9,4.5,45.887229585,0.0
2023-09-01 06:00:00,SWM10,4.4,44.867513372000005,0.078
2023-09-01 06:00:00,SWM10B,4.3,43.847797159,0.005
2023-09-01 06:00:00,SWM10C,4.2,42.82808094600001,0.0
2023-09-01 06:00:00,SWM11,5.3,54.044959289000005,0.019
2023-09-01 06:00:00,SWM12,5.0,50.985810650000005,0.094
2023-09-01 06:00:00,SWM13,5.1,52.005526863,0.045
2023-09-01 06:00:00,SWM14,5.4,55.06467550200001,0.036
2023-09-01 06:00:00,SWM15,4.9,49.96609443700001,0.004
2023-09-01 06:00:00,SWM2,5.15,52.515384969500005,0.067
2023-09-01 06:00:00,SWM3,5.2,53.025243076,0.06
2023-09-01 06:00:00,SWM4,5.1,52.005526863,0.0
2023-09-01 06:00:00,SWM6,5.0,50.985810650000005,0.0
2023-09-01 06:00:00,SWM7,5.2,53.025243076,0.031
2023-09-01 06:00:00,SWM8,5.0,50.985810650000005,0.059
2023-09-01 06:00:00,SWM9,4.5,45.887229585,0.027
